hmdb_id,smiles,pubchem_cid,inchikey
HMDB0000267,C1CC(=O)N[C@@H]1C(=O)O,7405,ODHCTXKNWHHXJC-VKHMYHEASA-N
HMDB0000268,C[C@]12CC[C@H](C[C@H]1CCC3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O)O,9863245,RHQQHZQUAMFINJ-DSCSGEDNSA-N
HMDB0000272,C([C@@H](C(=O)O)N)OP(=O)(O)O,68841,BZQFBWGGLXLEPQ-REOHCLBHSA-N
HMDB0000279,C(CCN[C@@H](CCC(=O)O)C(=O)O)C[C@@H](C(=O)O)N,160556,ZDGJAHTZVHVLOT-YUMQZZPRSA-N
HMDB0000280,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O,7339,PQGCEDQWHSBAJP-TXICZTDVSA-N
HMDB0000288,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,6030,DJJCXFVJDGTHFX-XVFCMESISA-N
HMDB0000290,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O,445675,LFTYTUAZOPRMMI-CFRASDGPSA-N
HMDB0000291,COC1=C(C=CC(=C1)[C@@H](C(=O)O)O)O,736172,CGQCWMIAEPEHNQ-QMMMGPOBSA-N
HMDB0000292,C1=NC2=C(N1)C(=O)NC(=O)N2,1188,LRFVTYWOQMYALW-UHFFFAOYSA-N
HMDB0000295,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O,6031,XCCTYIAWTASOJW-XVFCMESISA-N
HMDB0000296,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,6029,DRTQHJPVMGBUCF-XVFCMESISA-N
HMDB0000299,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O,64959,UBORTCNDUKBEOP-UUOKFMHZSA-N
HMDB0000300,C1=CNC(=O)NC1=O,1174,ISAKRJDGNUQOIC-UHFFFAOYSA-N
HMDB0000302,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O,18068,HSCJRCZFDFQWRP-ABVWGUQPSA-N
HMDB0000303,C1=CC=C2C(=C1)C(=CN2)CCN,1150,APJYDQYYACXCRM-UHFFFAOYSA-N
HMDB0000305,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\CO)/C)/C,9904001,FPIPGXGPPPQFEQ-HWCYFHEPSA-N
HMDB0000306,C1=CC(=CC=C1CCN)O,5610,DZGWFCGJZKJUFP-UHFFFAOYSA-N
HMDB0000308,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,92997,HIAJCGFYHIANNA-QIZZZRFXSA-N
HMDB0000312,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,5283869,BHQCQFFYRZLCQQ-KRHHAYMPSA-N
HMDB0000313,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@@H](C2=O)O)CCC4=C3C=CC(=C4)O,22833517,WPOCIZJTELRQMF-LFRCEIEQSA-N
HMDB0000315,CC(=O)[C@H]1[C@@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O,6452574,ZAKJZPQDUPCXSD-YRWKUUEZSA-N
HMDB0000317,CC[C@@H](C)[C@H](C(=O)O)O,10796774,RILPIWOPNGRASR-RFZPGFLSSA-N
HMDB0000318,C1=CC(=C(C=C1C(CO)O)O)O,91528,MTVWFVDWRVYDOR-UHFFFAOYSA-N
HMDB0000319,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)CO)O,11222,HFSXHZZDNDGLQN-ZVIOFETBSA-N
